"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"8083",1177,"2018-10-02 09:01:53.8590","2018-10-02 09:21:31.5730",139,"Dana Park",42.361780439606,-71.1080995202065,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3382,"Subscriber",1992,1
"8165",270,"2018-10-02 09:17:33.1820","2018-10-02 09:22:03.3120",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3601,"Subscriber",1994,1
"8330",485,"2018-10-02 10:16:37.2270","2018-10-02 10:24:43.0530",27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2365,"Customer",1969,0
"8975",767,"2018-10-02 13:55:26.6580","2018-10-02 14:08:14.4290",3,"Colleges of the Fenway - Fenway at Avenue Louis Pasteur",42.3401151224924,-71.1006188392639,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3785,"Subscriber",1993,2
"9054",641,"2018-10-02 14:29:06.0930","2018-10-02 14:39:47.3250",81,"Chinatown T Stop",42.352409,-71.062679,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3617,"Subscriber",1955,2
"9772",696,"2018-10-02 16:51:22.3260","2018-10-02 17:02:58.8450",45,"Jersey St. at Boylston St.",42.3446808403874,-71.0978534817696,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2856,"Subscriber",1988,2
"10005",664,"2018-10-02 17:11:08.8250","2018-10-02 17:22:13.5290",192,"Purchase St at Pearl St",42.354659,-71.053181,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3178,"Subscriber",1986,1
"10203",7441,"2018-10-02 17:25:24.1310","2018-10-02 19:29:25.3820",90,"Lechmere Station at Cambridge St / First St",42.370677,-71.076529,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3353,"Customer",1993,1
"10302",1350,"2018-10-02 17:33:08.4220","2018-10-02 17:55:38.6210",91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2155,"Subscriber",1993,2
"10434",418,"2018-10-02 17:45:36.0730","2018-10-02 17:52:34.7580",54,"Tremont St at West St",42.354979,-71.063348,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2438,"Subscriber",1971,1
"10539",1367,"2018-10-02 17:55:16.3680","2018-10-02 18:18:03.8860",185,"Third at Binney",42.365444861374,-71.0827714204788,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,4207,"Subscriber",1977,1
"10547",454,"2018-10-02 17:56:28.0350","2018-10-02 18:04:02.2670",50,"Boylston St at Berkeley St",42.3511419825475,-71.0732924938202,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3949,"Subscriber",1994,1
"10608",1166,"2018-10-02 18:05:50.5530","2018-10-02 18:25:16.6230",13,"Boston Medical Center - E Concord St at Harrison Ave",42.336437,-71.073089,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3801,"Subscriber",1988,1
"10618",1383,"2018-10-02 18:07:50.0850","2018-10-02 18:30:53.6470",58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2384,"Subscriber",1989,2
"10623",879,"2018-10-02 18:08:49.6870","2018-10-02 18:23:28.9670",152,"Ink Block - Harrison Ave at Herald St",42.345901,-71.063187,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3248,"Subscriber",1992,2
"10634",892,"2018-10-02 18:10:31.5220","2018-10-02 18:25:24.2640",64,"Congress St at Sleeper St",42.3510044959467,-71.049300134182,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,1068,"Subscriber",1997,1
"10910",239,"2018-10-02 19:14:07.6460","2018-10-02 19:18:07.3330",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2329,"Subscriber",1959,1
"10913",892,"2018-10-02 19:15:12.2680","2018-10-02 19:30:04.7770",24,"Seaport Square - Seaport Blvd at Northern Ave",42.3514819346086,-71.0443608462811,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3864,"Subscriber",1988,1
"10976",386,"2018-10-02 19:44:10.4810","2018-10-02 19:50:36.7700",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,4073,"Subscriber",1991,1
"11036",612,"2018-10-02 20:07:42.9620","2018-10-02 20:17:55.5100",22,"South Station - 700 Atlantic Ave",42.352175,-71.055547,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2193,"Subscriber",1991,1
"11247",466,"2018-10-02 21:08:25.2450","2018-10-02 21:16:11.9420",63,"Dorchester Ave at Gillette Park",42.3440405100164,-71.0573762655258,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2408,"Subscriber",1988,1
"11533",233,"2018-10-02 22:53:26.9870","2018-10-02 22:57:20.4320",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2692,"Subscriber",1991,1
"12121",1318,"2018-10-03 07:32:41.8130","2018-10-03 07:54:40.0290",125,"Hyde Square - Barbara St at Centre St",42.3217652572395,-71.1098416056711,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2031,"Subscriber",1994,2
"12365",888,"2018-10-03 07:51:12.6840","2018-10-03 08:06:01.3170",76,"Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St",42.366426,-71.105495,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,4001,"Subscriber",1990,1
"13294",1204,"2018-10-03 08:55:21.4830","2018-10-03 09:15:25.7160",139,"Dana Park",42.361780439606,-71.1080995202065,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3873,"Subscriber",1992,1
"13616",378,"2018-10-03 09:36:20.2530","2018-10-03 09:42:38.4900",50,"Boylston St at Berkeley St",42.3511419825475,-71.0732924938202,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3036,"Subscriber",1959,1
"14128",560,"2018-10-03 11:29:04.7620","2018-10-03 11:38:25.1100",23,"Boston City Hall - 28 State St",42.35892,-71.057629,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2071,"Subscriber",1967,1
"14365",635,"2018-10-03 12:15:36.1510","2018-10-03 12:26:11.7570",35,"Arch St at Franklin St",42.3553350194126,-71.0582291708306,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3643,"Subscriber",1989,2
"14475",917,"2018-10-03 12:36:31.7660","2018-10-03 12:51:49.4340",167,"Ryan Playground - Dorchester Ave at Harbor View St",42.317642,-71.056664,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3153,"Subscriber",1962,1
"14479",292,"2018-10-03 12:36:38.8300","2018-10-03 12:41:31.2860",21,"Prudential Center - Belvedere St",42.3465200399841,-71.0806577654512,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2351,"Subscriber",1969,2
"14604",572,"2018-10-03 13:00:16.5160","2018-10-03 13:09:48.6530",134,"Boylston St at Dartmouth St",42.350413,-71.07655,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3430,"Subscriber",1994,2
"14865",256,"2018-10-03 13:57:54.3990","2018-10-03 14:02:10.9170",152,"Ink Block - Harrison Ave at Herald St",42.345901,-71.063187,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3600,"Subscriber",1989,1
"14900",629,"2018-10-03 14:05:35.2860","2018-10-03 14:16:04.4930",307,"Broadway T Stop (former)",42.3428,-71.05751,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3715,"Subscriber",1979,1
"15108",284,"2018-10-03 14:46:17.7320","2018-10-03 14:51:02.4610",21,"Prudential Center - Belvedere St",42.3465200399841,-71.0806577654512,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3664,"Subscriber",1987,1
"15405",553,"2018-10-03 15:32:11.7310","2018-10-03 15:41:25.0030",59,"Chinatown Gate Plaza",42.351356,-71.059367,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2671,"Subscriber",1990,1
"15517",1135,"2018-10-03 15:50:51.8200","2018-10-03 16:09:46.8520",247,"Boylston St at Jersey St (former)",42.3446957086622,-71.0972379148006,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2949,"Customer",1969,0
"15583",1103,"2018-10-03 15:59:53.9050","2018-10-03 16:18:16.9770",54,"Tremont St at West St",42.354979,-71.063348,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2416,"Customer",1989,1
"15767",848,"2018-10-03 16:14:22.2760","2018-10-03 16:28:30.8520",80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.0911560058594,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2740,"Subscriber",1964,1
"15938",664,"2018-10-03 16:30:20.9720","2018-10-03 16:41:25.1690",33,"Kenmore Square",42.348706,-71.097009,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2302,"Subscriber",1998,1
"16027",925,"2018-10-03 16:37:06.0740","2018-10-03 16:52:31.9210",189,"Kendall T",42.3624278429124,-71.0849547386169,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2908,"Subscriber",1991,2
"16234",517,"2018-10-03 16:53:07.1980","2018-10-03 17:01:45.0330",54,"Tremont St at West St",42.354979,-71.063348,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2232,"Subscriber",1971,2
"16701",557,"2018-10-03 17:16:56.3720","2018-10-03 17:26:14.0870",150,"State Street at Channel Center",42.344137,-71.052608,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2008,"Customer",1994,1
"16902",417,"2018-10-03 17:26:28.7730","2018-10-03 17:33:26.4610",61,"Boylston St at Fairfield St",42.348762,-71.082383,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3537,"Subscriber",1987,1
"16910",264,"2018-10-03 17:27:01.4620","2018-10-03 17:31:25.9840",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2177,"Subscriber",1987,1
"16950",631,"2018-10-03 17:29:17.6090","2018-10-03 17:39:49.0330",206,"Government Center - Cambridge St at Court St",42.3598025159955,-71.0596078262643,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,969,"Subscriber",1967,1
"17018",649,"2018-10-03 17:32:43.8350","2018-10-03 17:43:33.7070",58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2007,"Subscriber",1989,2
"17180",598,"2018-10-03 17:40:29.7560","2018-10-03 17:50:28.1300",42,"Boylston St at Arlington St",42.3520426222971,-71.0704493522644,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3413,"Subscriber",1985,1
