"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"4172",308,"2018-10-01 15:18:57.3100","2018-10-01 15:24:05.6210",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,61,"Boylston St at Fairfield St",42.348762,-71.082383,2283,"Subscriber",1967,1
"4328",492,"2018-10-01 15:49:49.2490","2018-10-01 15:58:01.2930",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,138,"Newmarket Square T Stop - Massachusetts Ave at Newmarket Square",42.326599,-71.066498,2943,"Subscriber",1974,1
"4404",474,"2018-10-01 16:04:23.9010","2018-10-01 16:12:18.6980",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,5,"Northeastern University - North Parking Lot",42.341814,-71.090179,3586,"Subscriber",1995,2
"4616",335,"2018-10-01 16:38:26.4580","2018-10-01 16:44:02.1200",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,50,"Boylston St at Berkeley St",42.3511419825475,-71.0732924938202,3835,"Subscriber",1982,1
"4877",1253,"2018-10-01 17:10:32.9490","2018-10-01 17:31:26.5480",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,139,"Dana Park",42.361780439606,-71.1080995202065,2698,"Subscriber",1992,1
"6174",343,"2018-10-01 20:15:11.6370","2018-10-01 20:20:54.7060",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3727,"Subscriber",1995,1
"6188",710,"2018-10-01 20:18:30.9980","2018-10-01 20:30:21.1730",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,4094,"Customer",1969,0
"6779",1743,"2018-10-02 05:40:25.0590","2018-10-02 06:09:28.8460",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,90,"Lechmere Station at Cambridge St / First St",42.370677,-71.076529,2982,"Subscriber",1964,1
"6793",259,"2018-10-02 05:50:13.2090","2018-10-02 05:54:32.2110",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3958,"Subscriber",1959,1
"6804",315,"2018-10-02 06:05:52.8480","2018-10-02 06:11:08.3480",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,36,"Copley Square - Dartmouth St at Boylston St",42.3499346361189,-71.0773855447769,4088,"Subscriber",1959,1
"7002",662,"2018-10-02 07:06:35.2900","2018-10-02 07:17:38.1850",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,192,"Purchase St at Pearl St",42.354659,-71.053181,3575,"Subscriber",1986,1
"7019",972,"2018-10-02 07:10:25.0340","2018-10-02 07:26:37.3020",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,218,"Watermark Seaport - Boston Wharf Rd at Seaport Blvd",42.3515860011985,-71.0456925630569,3348,"Subscriber",1987,2
"7075",258,"2018-10-02 07:20:41.4510","2018-10-02 07:24:59.8930",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,26,"Washington St at Waltham St",42.341522,-71.068922,3500,"Subscriber",1989,1
"7237",568,"2018-10-02 07:42:34.6740","2018-10-02 07:52:03.0220",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,608,"Subscriber",1989,2
"7424",847,"2018-10-02 07:59:24.0910","2018-10-02 08:13:31.0970",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,45,"Jersey St. at Boylston St.",42.3446808403874,-71.0978534817696,2342,"Subscriber",1988,2
"7459",417,"2018-10-02 08:02:04.4610","2018-10-02 08:09:01.6020",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,2127,"Subscriber",1964,1
"7537",1093,"2018-10-02 08:08:46.8350","2018-10-02 08:27:00.3430",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,144,"Rogers St & Land Blvd",42.3657579821484,-71.0769939422607,3709,"Subscriber",1977,1
"7547",479,"2018-10-02 08:09:22.5060","2018-10-02 08:17:21.9670",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,54,"Tremont St at West St",42.354979,-71.063348,2649,"Subscriber",1985,1
"7618",334,"2018-10-02 08:15:45.9090","2018-10-02 08:21:20.4960",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3362,"Subscriber",1990,2
"7670",748,"2018-10-02 08:19:29.2360","2018-10-02 08:31:57.8000",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,107,"Ames St at Main St",42.3625,-71.08822,3791,"Subscriber",1978,1
"7918",213,"2018-10-02 08:43:35.4840","2018-10-02 08:47:09.4190",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3467,"Subscriber",1990,1
"8045",461,"2018-10-02 08:57:07.4950","2018-10-02 09:04:49.4340",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,45,"Jersey St. at Boylston St.",42.3446808403874,-71.0978534817696,3867,"Subscriber",1974,1
"8165",270,"2018-10-02 09:17:33.1820","2018-10-02 09:22:03.3120",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3601,"Subscriber",1994,1
"8195",256,"2018-10-02 09:25:59.8490","2018-10-02 09:30:16.7010",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3601,"Subscriber",1994,1
"8252",527,"2018-10-02 09:44:18.0320","2018-10-02 09:53:05.3210",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,22,"South Station - 700 Atlantic Ave",42.352175,-71.055547,3382,"Subscriber",1994,1
"8372",812,"2018-10-02 10:36:02.3840","2018-10-02 10:49:35.0820",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3,"Colleges of the Fenway - Fenway at Avenue Louis Pasteur",42.3401151224924,-71.1006188392639,3530,"Subscriber",1993,2
"8584",2633,"2018-10-02 11:48:29.6920","2018-10-02 12:32:23.0000",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,47,"Cross St at Hanover St",42.362811,-71.056067,3210,"Subscriber",1991,1
"8852",1498,"2018-10-02 13:13:29.1900","2018-10-02 13:38:28.0910",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,48,"Post Office Square - Pearl St at Milk St",42.356755,-71.055407,3720,"Subscriber",1983,1
"8942",716,"2018-10-02 13:47:30.5610","2018-10-02 13:59:26.5860",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,54,"Tremont St at West St",42.354979,-71.063348,4077,"Subscriber",1990,2
"9317",1101,"2018-10-02 15:39:25.2130","2018-10-02 15:57:47.1680",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,3617,"Subscriber",1993,2
"9333",246,"2018-10-02 15:43:21.5720","2018-10-02 15:47:28.3950",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,51,"Washington St at Lenox St",42.3350989929096,-71.0790377855301,2172,"Subscriber",1993,1
"9465",1625,"2018-10-02 16:09:58.3150","2018-10-02 16:37:04.0530",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,35,"Arch St at Franklin St",42.3553350194126,-71.0582291708306,4185,"Customer",1995,1
"9805",628,"2018-10-02 16:55:42.7180","2018-10-02 17:06:11.2500",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,3856,"Subscriber",1995,2
"10115",1341,"2018-10-02 17:19:09.3970","2018-10-02 17:41:31.1790",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,74,"Harvard Square at Mass Ave/ Dunster",42.373268,-71.118579,3198,"Customer",1984,1
"10301",257,"2018-10-02 17:33:06.5480","2018-10-02 17:37:24.3780",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3178,"Subscriber",1990,1
"10362",207,"2018-10-02 17:38:43.9650","2018-10-02 17:42:10.9920",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3785,"Subscriber",1988,1
"10546",269,"2018-10-02 17:56:06.6230","2018-10-02 18:00:36.4300",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,61,"Boylston St at Fairfield St",42.348762,-71.082383,2856,"Subscriber",1958,1
"10586",234,"2018-10-02 18:01:57.9830","2018-10-02 18:05:52.3260",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,2438,"Subscriber",1959,1
"10700",1599,"2018-10-02 18:22:15.0280","2018-10-02 18:48:54.3260",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,139,"Dana Park",42.361780439606,-71.1080995202065,3949,"Subscriber",1992,1
"10706",403,"2018-10-02 18:23:16.9390","2018-10-02 18:30:00.4990",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,250,"Park Plaza at Charles St (former)",42.35186,-71.067688,4207,"Subscriber",1989,1
"10745",832,"2018-10-02 18:30:18.7670","2018-10-02 18:44:11.1780",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,131,"Jackson Square T Stop",42.3229311719595,-71.1001414060593,3103,"Subscriber",1997,1
"11527",250,"2018-10-02 22:49:12.3390","2018-10-02 22:53:22.9160",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,2408,"Subscriber",1975,1
